population,lon,lat,elevation,tower_height,coverage_km,path_loss,cluster,gain,x,y
39967.08166503906,-8.48472167987614,51.896227935830815,5.0,30.25,2.605,153.78408991992166,4,104998.81018066406,,
5753.837905883789,-8.444297492090762,51.9250230185819,129.0,36.45,2.729,153.14473026730212,4,34863.39381790161,,
21726.456176757812,-8.444297492090762,51.86741438753988,39.0,31.95,2.6390000000000002,153.58862119579783,4,27199.34532546997,,
14674.18741607666,-8.383661210412692,51.8241594322677,23.0,31.15,2.623,153.67846858399116,4,25728.126945495605,,
5670.744583129883,-8.403873304305383,51.9250230185819,81.0,34.05,2.681,153.36931603784168,4,23792.776496887207,,
12213.301727294922,-8.58578214933959,51.88182347016256,24.0,31.2,2.624,153.67274430975488,4,23605.73721885681,,
3225.45352935791,-8.525145867661518,51.86741438753988,48.0,32.4,2.648,153.53966866443756,4,23340.88211631775,,
2438.1672191619873,-8.323024928734625,51.86741438753988,57.0,32.85,2.657,153.49181385289424,4,21681.838277339935,,
10260.61120223999,-8.262388647056557,51.91062778511386,10.0,30.5,2.61,153.7542510776544,4,14512.250918388367,,
13109.236419677734,-8.626206337124964,51.88182347016256,29.0,31.45,2.629,153.6443431540358,4,14335.20563030243,,
15151.774475097656,-8.50493377376883,51.91062778511386,140.0,37.0,2.74,153.09676406458553,4,13327.115064620972,,
7518.188819885254,-8.747478900481099,51.73752478755251,36.0,31.8,2.636,153.6051886752748,4,13173.996076583862,,
1805.4296073913574,-8.888963557729923,51.63624069911901,76.0,33.8,2.676,153.39424213187348,4,9446.122135162354,,
2996.813507080078,-8.20175236537849,51.9250230185819,22.0,31.1,2.622,153.68420766270668,4,9440.911296844482,,
8406.423049926758,-8.48472167987614,51.86741438753988,55.0,32.75,2.6550000000000002,153.50235513744352,4,9052.242614746094,,
10042.111557006836,-8.403873304305383,51.80973187615474,40.0,32.0,2.64,153.58312673752755,4,7622.058833122253,,
1806.3687472343445,-8.96981193330068,51.896227935830815,139.0,36.95,2.739,153.10107393411198,4,7531.171562507749,,
1147.1757469177246,-8.565570055446898,51.9250230185819,34.0,31.7,2.634,153.61630424571135,4,7156.980735778809,,
3472.5522384643555,-8.343237022627317,51.853000687394506,83.0,34.15,2.683,153.3594306490673,4,6643.92045211792,,
25186.202880859375,-8.464509585983452,51.91062778511386,73.0,33.65,2.673,153.40934522346922,4,6180.260559082031,,
4716.898498535156,-8.605994243232274,51.9250230185819,30.0,31.5,2.63,153.638706599292,4,6081.020708084106,,
2693.2157821655273,-9.434690092832533,51.67967591339227,55.0,32.75,2.6550000000000002,153.50235513744352,4,5675.405327796936,,
696.826114654541,-9.27299334169102,51.53472991338745,37.0,31.85,2.637,153.59965211516342,4,5510.608594894409,,
12059.428405761719,-8.302812834841937,51.853000687394506,77.0,33.85,2.677,153.3892324504357,4,5207.928131103516,,
2379.4999084472656,-9.596386843974045,51.88182347016256,24.0,31.2,2.624,153.67274430975488,4,5193.545454502106,,
2508.9044647216797,-8.343237022627317,51.91062778511386,6.0,30.3,2.606,153.77809076621367,4,4811.377544403076,,
505.8371686935425,-8.48472167987614,51.75197544821728,36.0,31.8,2.636,153.6051886752748,4,4444.368496894836,,
2149.211437225342,-8.20175236537849,51.83858236915921,66.0,33.3,2.666,153.44502309437226,4,3967.6245622634888,,
1715.4329299926758,-9.495326374510599,52.04001878573521,26.0,31.3,2.626,153.66133996230738,4,3841.4705976843834,,
2994.945755004883,-8.545357961554208,51.88182347016256,21.0,31.05,2.621,153.68996159933582,4,3806.249786376953,,
2715.7270889282227,-8.302812834841937,51.79529970025602,71.0,33.55,2.671,153.41947607416336,4,3605.638084411621,,
712.0828857421875,-8.666630524910344,51.88182347016256,41.0,32.05,2.641,153.57764621458836,4,3531.068925857544,,
14319.0927734375,-8.403873304305383,51.86741438753988,75.0,33.75,2.675,153.39926412686032,4,3380.3742713928223,,
1068.664695739746,-8.727266806588407,51.86741438753988,41.0,32.05,2.641,153.57764621458836,4,3328.7154998779297,,
982.7431402206421,-9.111296590549506,51.70860959788775,68.0,33.4,2.668,153.43476637717472,4,3286.564188480377,,
1985.243713378906,-8.525145867661518,51.982557805742644,181.0,39.05,2.7809999999999997,152.92833741351808,4,3150.3183851242065,,
1538.5635290145874,-8.666630524910344,51.76642148684909,26.0,31.3,2.626,153.66133996230738,4,3015.42892742157,,
1499.011131286621,-9.919780346257074,51.65072372961951,13.0,30.65,2.613,153.73653447832862,4,2802.426382303238,,
772.2332954406738,-8.58578214933959,51.79529970025602,63.0,33.15,2.6630000000000003,153.46050380530434,4,2779.640941619873,,
1782.0556049346924,-8.605994243232274,52.01129751933061,143.0,37.15,2.743,153.08389440806238,4,2757.39764213562,,
575.9154968261719,-8.707054712695722,51.73752478755251,47.0,32.35,2.6470000000000002,153.54505299640587,4,2468.1983575820923,,
1224.6799087524414,-8.464509585983452,51.8241594322677,43.0,32.15,2.643,153.56672677929907,4,2397.6605796813965,,
681.9012565612793,-8.707054712695722,51.62175304213901,28.0,31.4,2.628,153.64999419816496,4,2344.7307777404785,,
761.0818061828612,-8.626206337124964,51.79529970025602,45.0,32.25,2.645,153.55586250147724,4,2246.1090126037598,,
1035.1321773529053,-8.444297492090762,51.95379964035875,140.0,37.0,2.74,153.09676406458553,4,2116.056456565857,,
1253.3608436584473,-8.949599839407993,51.73752478755251,51.0,32.55,2.651,153.52359678404613,4,2099.4155101776123,,
584.7185678482056,-9.151720778334882,51.563756138413176,74.0,33.7,2.674,153.40429847684527,4,2070.907772064209,,
832.9545269012452,-8.727266806588407,51.9250230185819,89.0,34.45,2.689,153.33006189937663,4,2047.9654083251953,,
511.17565536499023,-8.565570055446898,51.83858236915921,107.0,35.35,2.707,153.24446975954467,4,1934.2522315979004,,
3948.5213508605957,-8.383661210412692,51.93941363680615,52.0,32.6,2.652,153.51826637296963,4,1905.1366186141968,,
994.0541772842407,-8.58578214933959,51.73752478755251,84.0,34.2,2.684,153.3545060177692,4,1899.0931463241577,,
896.0363292694092,-8.48472167987614,51.982557805742644,144.0,37.2,2.744,153.07962440333193,4,1891.8759479522705,,
1390.9214477539062,-8.76769099437379,51.63624069911901,5.0,30.25,2.605,153.78408991992166,4,1885.44047164917,,
629.7182369232178,-9.05066030887144,51.578262306814075,97.0,34.85,2.697,153.29156248594998,4,1862.4161410331726,,
973.6103982925415,-9.25278124779833,51.66520213419281,70.0,33.5,2.67,153.42456026248456,4,1854.2302083969116,,
1088.552719116211,-8.424085398198073,52.05437250268946,151.0,37.55,2.751,153.05000956118562,4,1843.675129890442,,
710.9055728912354,-8.525145867661518,51.80973187615474,49.0,32.45,2.649,153.5342978830571,4,1800.162748336792,,
1746.672924041748,-8.525145867661518,51.9250230185819,93.0,34.65,2.693,153.31071909352238,4,1769.3622074127197,,
1093.9632663726807,-8.787903088266475,51.853000687394506,49.0,32.45,2.649,153.5342978830571,4,1728.7801370620728,,
1085.6160011291504,-9.151720778334882,51.93941363680615,120.0,36.0,2.7199999999999998,153.1849062257924,4,1718.236929655075,,
771.6749153137207,-8.343237022627317,51.96818102981287,104.0,35.2,2.704,153.25847918503456,4,1656.337106704712,,
1355.0629253387451,-8.727266806588407,52.04001878573521,196.0,39.8,2.796,152.87053062511475,4,1625.720097541809,,
4033.5836811065674,-8.909175651622613,51.62175304213901,12.0,30.6,2.612,153.7424245853753,4,1562.9427909851074,,
616.8055572509766,-8.747478900481099,51.99692996872321,185.0,39.25,2.785,152.91273144315025,4,1521.387201309204,,
894.1450843811035,-8.221964459271181,51.91062778511386,11.0,30.55,2.6109999999999998,153.74833009966042,4,1518.5632429122925,,
986.7709608078003,-8.343237022627317,51.8241594322677,23.0,31.15,2.623,153.67846858399116,4,1508.3707027435303,,
512.5381259918213,-8.262388647056557,51.96818102981287,132.0,36.6,2.732,153.13152601766248,4,1449.9376125335693,,
567.6749420166016,-9.27299334169102,51.563756138413176,20.0,31.0,2.62,153.69573044758,4,1406.542308807373,,
573.277027130127,-8.808115182159165,51.75197544821728,132.0,36.6,2.732,153.13152601766248,4,1305.4269123077393,,
558.0223484039307,-8.302812834841937,51.91062778511386,2.0,30.1,2.6020000000000003,153.80218246718738,4,1299.5921478271484,,
843.8198547363281,-8.787903088266475,51.91062778511386,73.0,33.65,2.673,153.40934522346922,4,1268.7247862815857,,
2894.937843322754,-8.50493377376883,51.70860959788775,66.0,33.3,2.666,153.44502309437226,4,1257.8429207801819,,
654.6690893173218,-8.605994243232274,51.66520213419281,65.0,33.25,2.665,153.45017053657799,4,1236.725989818573,,
662.1562614440918,-9.576174750081355,51.86741438753986,49.0,32.45,2.649,153.5342978830571,4,1198.3912343978882,,
681.9663009643555,-9.535750562295979,51.751975448217294,19.0,30.95,2.6189999999999998,153.7015142614095,4,1176.8734707832336,,
586.7182245254517,-9.45490218672522,51.665202134192825,108.0,35.4,2.708,153.23982223478725,4,1164.638409614563,,
865.9302124977112,-9.51553846840329,51.62175304213899,15.0,30.75,2.615,153.72480026149307,4,1130.8879914283752,,
7752.898132324219,-8.48472167987614,51.9250230185819,57.0,32.85,2.657,153.49181385289424,4,1099.06298828125,,
572.8911771774292,-8.383661210412692,51.76642148684909,58.0,32.9,2.658,153.48656293581476,4,1091.6270999908447,,
751.3930587768554,-9.47511428061791,52.02566045814192,56.0,32.8,2.6559999999999997,153.49707790500406,4,1021.6798734664917,,
622.7401504516602,-9.41447799893984,52.04001878573521,87.0,34.35,2.6870000000000003,153.33980389730806,4,1007.4112634658813,,
579.246862411499,-8.626206337124964,51.93941363680615,128.0,36.4,2.7279999999999998,153.1491523679138,4,996.1029481887817,,
2187.2390098571777,-8.99002402719337,51.91062778511386,126.0,36.3,2.726,153.15802779144985,4,979.2327861785889,,
530.6247406005859,-8.242176553163869,51.86741438753988,76.0,33.8,2.676,153.39424213187348,4,976.2082767486572,,
812.4451313018799,-8.868751463837235,51.650723729619514,43.0,32.15,2.643,153.56672677929907,4,946.4853363037109,,
642.9350719451904,-9.23256915390564,51.853000687394506,91.0,34.55,2.691,153.32036706823055,4,865.6812653541565,,
532.3108477592468,-9.374053811154463,51.491155847110534,15.0,30.75,2.615,153.72480026149307,4,832.3074059486389,,
1133.8877391815186,-8.50493377376883,51.76642148684909,87.0,34.35,2.6870000000000003,153.33980389730806,4,819.4941577911377,,
751.5781650543213,-8.565570055446898,51.78086290400824,82.0,34.1,2.682,153.36436730904535,4,791.3914890289307,,
798.0616493225098,-9.09108449665682,51.723069504295424,67.0,33.35,2.667,153.43988838897698,4,775.1862258911133,,
786.2340812683105,-8.666630524910344,51.79529970025602,46.0,32.3,2.646,153.55045092624792,4,758.3722648620605,,
991.9401998519897,-8.565570055446898,51.95379964035875,95.0,34.75,2.6950000000000003,153.3011176676952,4,749.6253747940063,,
2075.6861839294434,-8.403873304305383,51.95379964035875,99.0,34.95,2.699,153.28205324621365,4,732.0364723205566,,
621.5411088466644,-9.899568252364386,51.83858236915919,9.0,30.45,2.609,153.76018757611467,4,719.0940880775452,,
566.0852069854736,-8.323024928734625,51.78086290400824,24.0,31.2,2.624,153.67274430975488,4,626.188154220581,,
553.8930130004883,-8.707054712695722,51.91062778511386,83.0,34.15,2.683,153.3594306490673,4,620.3948078155518,,
1165.1426448822021,-8.868751463837235,51.62175304213901,64.0,33.2,2.664,153.45533075901415,4,591.1144170761108,,
555.148362159729,-8.50493377376883,51.853000687394506,152.0,37.6,2.752,153.04581782004348,4,581.4702281951904,,
3152.5110778808594,-8.949599839407993,51.91062778511386,100.0,35.0,2.7,153.27731576093856,4,554.8115224838257,,
666.8676662445068,-8.525145867661518,51.95379964035875,89.0,34.45,2.689,153.33006189937663,4,534.6102447509766,,
1113.9023895263672,-8.363449116520007,51.80973187615474,9.0,30.45,2.609,153.76018757611467,4,529.1706285476685,,
